Report Date,County,Place of Fatality,Deaths by County of Residence
01/06/2021,Cortland,43,43
01/06/2021,Delaware,6,14
01/06/2021,Dutchess,274,260
01/06/2021,Erie,"1,351","1,263"
01/06/2021,Essex,13,16
01/06/2021,Franklin,8,9
01/06/2021,Fulton,28,39
01/06/2021,Genesee,61,67
01/06/2021,Greene,14,32
01/06/2021,Hamilton,0,1
01/06/2021,Herkimer,14,32
01/06/2021,Jefferson,11,13
01/06/2021,Kings,"4,957","5,513"
01/06/2021,Lewis,6,18
01/06/2021,Livingston,16,30
01/06/2021,Madison,66,71
01/06/2021,Manhattan,"3,692","2,283"
01/06/2021,Monroe,723,642
01/06/2021,Montgomery,55,59
01/06/2021,Nassau,"3,002","2,452"
01/06/2021,Niagara,146,203
01/06/2021,Non-NYS,0,158
01/06/2021,Oneida,289,287
01/06/2021,Onondaga,520,475
01/06/2021,Ontario,87,73
01/06/2021,Orange,552,535
01/06/2021,Orleans,42,65
01/06/2021,Oswego,41,51
01/06/2021,Otsego,20,17
01/06/2021,Putnam,66,67
01/06/2021,Queens,"4,375","5,440"
01/06/2021,Rensselaer,76,89
01/06/2021,Richmond,909,913
01/06/2021,Rockland,559,600
01/06/2021,Saratoga,32,49
01/06/2021,Schenectady,92,100
01/06/2021,Schoharie,0,5
01/06/2021,Schuyler,4,10
01/06/2021,Seneca,27,42
01/06/2021,St. Lawrence,48,48
01/06/2021,Statewide Total,"31,164","31,164"
01/06/2021,Steuben,109,126
01/06/2021,Suffolk,"2,454","2,410"
01/06/2021,Sullivan,40,46
01/06/2021,Tioga,39,54
01/06/2021,Tompkins,21,18
01/06/2021,Ulster,92,154
01/06/2021,Warren,39,32
01/06/2021,Washington,11,18
01/06/2021,Wayne,24,46
01/06/2021,Westchester,"1,858","1,711"
01/06/2021,Wyoming,23,29
01/06/2021,Yates,8,13
01/06/2022,Albany,779,446
01/06/2022,Allegany,83,139
01/06/2022,Bronx,"4,380","4,846"
01/06/2022,Broome,557,473
01/06/2022,Cattaraugus,197,191
01/06/2022,Cayuga,94,121
01/06/2022,Chautauqua,228,230
01/06/2022,Chemung,259,196
01/06/2022,Chenango,65,102
01/06/2022,Clinton,82,59
01/06/2022,Columbia,129,123
01/06/2022,Cortland,82,92
01/06/2022,Delaware,23,59
01/06/2022,Dutchess,592,544
01/06/2022,Erie,"2,541","2,279"
01/06/2022,Essex,35,48
01/06/2022,Franklin,21,33
01/06/2022,Fulton,85,135
01/06/2022,Genesee,146,164
01/06/2022,Greene,31,101
01/06/2022,Hamilton,0,4
01/06/2022,Herkimer,60,161
01/06/2022,Jefferson,107,118
01/06/2022,Kings,"7,139","7,911"
01/06/2022,Lewis,14,42
01/06/2022,Livingston,69,96
01/06/2022,Madison,107,118
01/06/2022,Manhattan,"5,325","3,256"
01/06/2022,Monroe,"1,581","1,366"
01/06/2022,Montgomery,151,178
01/06/2022,Nassau,"4,206","3,450"
01/06/2022,Niagara,314,484
01/06/2022,Non-NYS,0,395
01/06/2022,Oneida,734,709
01/06/2022,Onondaga,"1,082",897
01/06/2022,Ontario,199,146
01/06/2022,Orange,906,848
01/06/2022,Orleans,52,104
01/06/2022,Oswego,95,151
01/06/2022,Otsego,114,71
01/06/2022,Putnam,94,106
01/06/2022,Queens,"6,078","7,487"
01/06/2022,Rensselaer,181,219
01/06/2022,Richmond,"1,235","1,256"
01/06/2022,Rockland,778,814
